index,value
0,10
1,27
2,23
3,12
4,24
5,2
6,31
7,31
8,0
9,28
10,6
11,19
12,9
13,4
14,20
15,10
16,19
17,5
18,28
19,16
20,10
21,31
22,5
23,24
24,10
25,6
26,31
27,9
28,16
29,14
30,30
31,19
32,9
33,20
34,2
35,26
36,5
37,5
38,25
39,2
40,22
41,13
42,17
43,17
44,14
45,22
46,9
47,25
48,7
49,14
50,26
51,1
52,29
53,15
54,18
55,26
56,13
57,21
58,11
59,22
60,4
61,9
62,17
63,7
64,30
65,0
66,17
67,29
68,7
69,18
70,8
71,21
72,15
73,11
74,18
75,12
76,28
77,3
78,27
79,30
80,4
81,24
82,11
83,23
84,30
85,0
86,20
87,15
88,19
89,0
90,28
91,20
92,3
93,27
94,4
95,28
96,10
97,3
98,31
99,12
100,16
101,10
102,15
103,23
104,8
105,24
106,6
107,31
108,27
109,0
110,28
111,2
112,19
113,13
114,4
115,16
116,10
117,23
118,5
119,24
120,16
121,6
122,31
123,1
124,24
125,14
126,6
127,27
128,9
129,20
130,14
131,26
132,19
133,13
134,17
135,2
136,30
137,5
138,1
139,25
140,6
141,22
142,9
143,17
144,21
145,14
146,18
147,9
148,29
149,7
150,10
151,26
152,5
153,29
154,11
155,18
156,30
157,13
158,17
159,15
160,22
161,0
162,9
163,21
164,7
165,26
166,0
167,21
168,29
169,3
170,18
171,12
172,21
173,11
174,11
175,22
176,12
177,24
178,3
179,31
180,30
181,0
182,24
183,15
184,23
185,8
186,4
187,20
188,11
189,19
190,4
191,28
192,16
193,3
194,31
195,4
196,24
197,10
198,7
199,31
200,8
201,16
202,14
203,31
204,19
205,8
206,28
207,6
208,27
209,31
210,4
211,24
212,2
213,23
214,13
215,0
216,16
217,14
218,23
219,1
220,24
221,6
222,14
223,27
224,1
225,28
226,14
227,18
228,27
229,13
230,20
231,10
232,26
233,23
234,9
235,16
236,6
237,30
238,1
239,1
240,28
241,6
242,18
243,9
244,21
245,29
246,10
247,18
248,13
249,29
250,3
251,10
252,30
253,5
254,25
255,11
256,22
257,30
258,9
259,21
260,15
261,18
262,0
263,13
264,21
265,3
266,26
267,4
268,21
269,25
270,3
271,30
272,12
273,17
274,11
275,15
276,22
277,8
278,25
279,7
280,31
281,26
282,0
283,28
284,3
285,19
286,12
287,4
288,16
289,11
290,23
291,4
292,24
293,16
294,7
295,31
296,0
297,24
298,14
299,7
300,27
301,8
302,20
303,14
304,27
305,19
306,12
307,28
308,2
309,31
310,5
311,0
312,24
313,6
314,23
315,9
316,16
317,20
318,14
319,19
320,1
321,28
322,6
323,10
324,27
325,5
326,28
327,10
328,18
329,31
330,13
331,16
332,10
333,30
334,1
335,9
336,20
337,6
338,26
339,1
340,21
341,28
342,2
343,18
344,13
345,21
346,10
347,10
348,22
349,13
350,25
351,3
352,30
353,30
354,1
355,25
356,15
357,22
358,10
359,5
360,21
361,11
362,18
363,4
364,29
365,17
366,3
367,30
368,4
369,25
370,11
371,7
372,30
373,8
374,17
375,15
376,31
377,18
378,8
379,29
380,7
381,27
382,30
383,4
384,25
385,3
386,23
387,12
388,0
389,17
390,15
391,23
392,0
393,24
394,23
395,15
396,27
397,0
398,28
399,14
400,3
401,27
402,12
403,20
404,10
405,27
406,23
407,8
408,16
409,6
410,31
411,1
412,0
413,28
414,6
415,19
416,9
417,20
418,20
419,10
420,19
421,13
422,28
423,2
424,10
425,31
426,5
427,24
428,10
429,22
430,31
431,9
432,16
433,14
434,18
435,1
436,13
437,20
438,2
439,26
440,5
441,21
442,24
443,2
444,22
445,13
446,17
447,10
448,14
449,22
450,9
451,25
452,6
453,30
454,26
455,1
456,29
457,2
458,18
459,12
460,5
461,17
462,11
463,22
464,4
465,25
466,17
467,7
468,30
469,0
470,25
471,15
472,7
473,26
474,8
475,21
476,15
477,27
478,18
479,12
480,29
481,3
482,31
483,4
484,0
485,25
486,7
487,23
488,8
489,16
490,21
491,15
492,19
493,0
494,28
495,7
496,11
497,27
498,4
499,28
