Item #,Description,Ref Des,MPN,Qty
1,"FPGA, iCE40 UP5K",IC1,ICE40UP5K-SG48I,1
2,1-pole DIP switch,S1,418121270801,1
3,"10 kΩ 0603 resistor, thick film","R1, R5, R6, R7, R8, R9, R10, R15, R18, R19",ERJ-3EKF1002V,10
4,"100 nF / 0.1 µF 0603 capacitor (X7R, 16 V)","C7, C8, C9, C10, C11, C13, C14, C16, C18, C19",C0603C104M4RACTM,10
5,"1x6, 0.1 in (2.54 mm pitch) header",J2,61300611121,1
6,"Memory, SPI config flash, 16 Mbit",IC5,W25Q40CLSNIG,1
7,"220 Ω 0603 resistor, thick film","R11, R12, R13, R14",RC0603JR-0722RL,4
8,"100 kΩ 0603 resistor, thick film",R16,RC0603FR-07100KL,1
9,LDO (5 V to 3.3 V),IC2,MIC5504-3.3YM5-TR,1
10,LDO (3.3 V to 1.2 V),IC3,MIC5504-1.2YM5-TR,1
11,"Low-ESR ceramic chip capacitors; 1 µF, 0603, X7R, 16 V","C2, C3, C4, C5",MBASE168SB7105KTNA18,4
12,USB Type-B female header,J1,61400416121,1
13,500 mA PTC polyfuse,F1,2920L050/72DR,1
14,"2.3 A, 600 Ω ferrite bead",FL1,BLM21SP601SN1D,1
15,5 V unidirectional TVS diode / ESD protection,D1,SMAJ5.0A,1
16,USB-UART bridge IC,IC4,CP2102N-A02-GQFN24,1
17,"1 kΩ, 0603",R2,RC0603FR-071KL,1
18,"22.1 kΩ, 0603",R3,CRCW060322K1FKEBC,1
19,"47.5 kΩ, 0603",R4,CR0603-FX-4752ELF,1
20,"4.7 µF, 0805, 16 V, X7R","C6, C1, C12, C15, C17, C20, C21, C22, C23",C0805C475K4RACTM,9
21,Data-line TVS diodes,D2,SP0502BAHTG,1
22,"2x5, 0.1 in (2.54 mm pitch) shrouded header",J3,61201021621,1
23,100 Ω 0603 resistor,R17,560112116009,1
24,"0805 SMD LED, GN","D3, D4",150060VS75003,2
25,"0805 SMD LED, WH",D5,150060WS75000,1
26,"0805 SMD LED, YW",D6,150080YS75000,1
27,"0805 SMD LED, BU",D7,APT2012LVBC/D,1
28,"330 Ω, 0603 SMD resistor",R22,CR0603-FX-3300ELF,1
29,"680 Ω, 0603 SMD resistor","R20, R21, R23",CR0603-FX-6800ELF,3
30,"470 Ω, 0603 SMD resistor",R24,RC0603FR-07470RL,1
