Id,Reference Designator,MPN,Qty,Description,Notes
1,IC1,ICE40UP5K-SG48I,1,"FPGA, iCE40 UP5K",
2,IC2,MIC5504-3.3YM5-TR,1,LDO (5 V to 3.3 V),
3,IC3,MIC5504-1.2YM5-TR,1,LDO (3.3 V to 1.2 V),
4,IC4,FT2232HL-REEL,1,USB-UART bridge IC,Out of stock. Buy from LCSC instead. FT2232HL-REEL
5,IC5,W25Q40CLSNIG,1,"Memory, SPI config flash, 16 Mbit","Out of stock. But can ignore since have left over from rev1. If not, replace with similar other SOIC-8"
6,"IC6, IC7, IC8",SN74LVC14ADBRE4,3,"Schmitt trigger buffer, 8 channel",
7,F1,2920L050/72DR,1,500 mA PTC polyfuse,
8,FL1,BLM21SP601SN1D,1,"2.3 A, 600 Ω ferrite bead",
9,"FB1, FB2",BLM18AG601SN1D,2,"600 Ω @ high frequency / 100 MHz class, 500 mA max DC current, 0.38 Ω max DCR, 0603",
10,Q1,2N7002H6327XTSA2,1,"NMOS, N-Ch 60V 300mA SOT-23-3, (LED driver)",
11,Y1,830208214809,1,Clock for bridge IC (Standard Clock Oscillators WE-SPXO 12.0MHz 25ppm 2.0 x 1.6mm),
12,D1,SMAJ5.0A,1,5 V unidirectional TVS diode / ESD protection,
13,D2,SP0502BAHTG,1,Data-line TVS diodes,
14,"D3, D4",150060VS75003,2,"0805 SMD LED, GN",
15,D5,150060WS75000,1,"0805 SMD LED, WH","Out of stock. But can ignore since we have one left over from rev1 (otherwise, sub with other coloured LED)"
16,"D6, D9",150080YS75000,2,"0805 SMD LED, YW",
17,"D7, D8",APT2012LVBC/D,2,"0805 SMD LED, BU",
18,"R1, R3, R8, R9, R10, R15, R18, R19, R57, R58, R59, R60, R61, R62, R63, R64",ERJ-3EKF1002V,16,"10 kΩ 0603 resistor, thick film",
19,"R11, R12, R13",RC0603JR-0722RL,3,"220 Ω 0603 resistor, thick film",
20,"R16, R41-R56",RC0603FR-07100KL,17,"100 kΩ 0603 resistor, thick film",
21,R5,RC0603FR-071KL,1,"1 kΩ, 0603",
22,"R14, R17, R65, R66, R67, R69, R70, R71, R72",560112116009,9,100 Ω 0603 resistor,
23,"R21, R25-R40",CR0603-FX-3300ELF,17,"330 Ω, 0603 SMD resistor",
24,"R6, R7, R20, R22, R23, R24",CR0603-FX-6800ELF,6,"680 Ω, 0603 SMD resistor",
25,R2,ERJ-PC3B1202V,1,"12 kΩ, 0603 SMD resistor",
26,R4,ERJ-PC3B4701V,1,"4.7 kΩ, 0603 SMD resistor",
27,"R68, R73, R74",RC0805JR-070RL,3,"0 Ohms, 0805 SMD",
28,"C7, C8, C9, C10, C11, C13, C14, C16, C18, C19, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C36, C37",C0603C104M4RACTM,22,"100 nF / 0.1 µF 0603 capacitor (X7R, 16 V)",
29,"C2, C3, C4, C5",MBASE168SB7105KTNA18,4,"1 µF, 0603, X7R, 16 V; Low-ESR ceramic chip capacitors",
30,"C1, C12, C15, C17, C20, C21, C22, C23, C34, C35, C38",C0805C475K4RACTM,11,"4.7 µF, 0805, 16 V, X7R",
31,C6,CL10A335KP8NNNC,1,"3.3 µF, 0603, +/-10% 10V X5R",
32,S1,OS102011MA1QN1,1,Slide Switches SPDT On-On | CRESET_B,
33,S2,L101011MS02Q,1,"Slide Switch (SPST, ON/OFF) | power switch",
34,J1,61400416121,1,USB Type-B female header,
35,J2,61300611121,1,"1x6, 0.1 in (2.54 mm pitch) header",
36,J3,61202021621,1,"2x10, 0.1 in (2.54 mm pitch) shrouded header",
37,"J4, J5",61300821121,2,"2x4, 0.1 in (2.54mm pitch) header",
38,J6,61300311121,1,"1x3, 0.1 in (2.54mm pitch) header",
39,J7,61300621121,1,"2x3, 0.1 in (2.54mm pitch) header",
40,,61202023021,2,,FOR CABLE.
41,,63902015621CAB ,1,,FOR CABLE. 63902015621CAB Out of stock. Will luse 63902615621CAB and peel of 6 wires on the far side relative to the red wire
